"Sample"	"NSlikelihood"	"posterior"	"likelihood"	"prior"	"treeLikelihood.file5b4f4b20c908"	"TreeHeight"	"rateAC"	"rateAG"	"rateAT"	"rateCG"	"rateGT"	"freqParameter.1"	"freqParameter.2"	"freqParameter.3"	"freqParameter.4"	"BirthDeath"	"BDBirthRate"	"BDDeathRate"	"logP.mrca.auto_name_1.."	"mrca.age.auto_name_1."	"clockRate"
"24"	23	-736.031661669131	-767.907302349735	-736.031661669131	-31.8756406806042	-736.031661669131	14.9996287216394	0.12704270481172	1.59286518570378	0.397945205822538	2.68366702442282	5.69671451304588	0.25165670857184	0.236046011585279	0.26332938423869	0.24896789560419	-21.173115324829	0.0859619073405616	0.16312166719888	5.91989293524207	14.9996287216394	0.129457255687871
"25"	24	-732.882495813668	-765.257027951883	-732.882495813668	-32.3745321382146	-732.882495813668	14.9996287216394	0.12704270481172	1.59286518570378	0.397945205822538	2.68366702442282	5.69671451304588	0.25165670857184	0.236046011585279	0.26332938423869	0.24896789560419	-21.6720067824394	0.214062943372363	0.448923408477922	5.91989293524207	14.9996287216394	0.100593658926281
"26"	25	-732.258506689222	-765.040382325355	-732.258506689222	-32.7818756361329	-732.258506689222	14.9996287216394	0.241155944677691	1.5840910933221	0.750452693114462	2.68366702442282	5.69671451304588	0.25165670857184	0.236046011585279	0.26332938423869	0.24896789560419	-20.8268556679457	0.123170361837742	0.379935442660119	5.91989293524207	14.9996287216394	0.129033340287025
"27"	26	-723.554999700535	-755.957168148855	-723.554999700535	-32.40216844832	-723.554999700535	14.9996287216394	0.512142912409052	1.57630233980648	0.750452693114462	2.68366702442282	4.97393753086301	0.253065993404924	0.242311243112852	0.262657319382096	0.241965444100129	-19.9107914686429	0.106604172032237	0.283012238958876	5.91989293524207	14.9996287216394	0.097630457721124
"28"	27	-722.535050585702	-756.239777927365	-722.535050585702	-33.7047273416626	-722.535050585702	14.9996287216394	0.512142912409052	1.40776910444564	0.750452693114462	2.68366702442282	4.97393753086301	0.256298913815385	0.23907832270239	0.262657319382096	0.241965444100129	-21.3291988029483	0.161647373413505	0.209427690118626	5.91989293524207	14.9996287216394	0.0852901031338259
"29"	28	-722.079701536334	-755.542470368205	-722.079701536334	-33.462768831871	-722.079701536334	14.9996287216394	0.512142912409052	1.40776910444564	0.750452693114462	2.68366702442282	4.97393753086301	0.256298913815385	0.23907832270239	0.262657319382096	0.241965444100129	-21.0872402931567	0.127546316405285	0.383980675039656	5.91989293524207	14.9996287216394	0.0670751885553563
"30"	29	-721.750275510981	-754.791402870005	-721.750275510981	-33.0411273590235	-721.750275510981	14.9996287216394	0.60797361062175	1.09681566044324	1.17138822646427	2.8381009019539	4.94970849690208	0.256298913815385	0.236478454612145	0.265257187472341	0.241965444100129	-20.2190940784089	0.0407397113506625	0.848771720858376	5.91989293524207	14.9996287216394	0.0927787706593821
"31"	30	-721.698641569241	-753.477866834786	-721.698641569241	-31.7792252655446	-721.698641569241	14.9996287216394	0.60797361062175	1.09681566044324	1.17138822646427	2.8381009019539	3.78047236443527	0.262860628893923	0.228742135395633	0.265257187472341	0.243140048238102	-19.3301213315794	0.163883835244821	0.163722094835053	5.91989293524207	14.9996287216394	0.119150763478785
"32"	31	-720.381245637187	-754.079000949192	-720.381245637187	-33.6977553120051	-720.381245637187	14.9996287216394	0.60797361062175	1.09681566044324	1.31293735525429	2.8381009019539	3.78047236443527	0.262860628893923	0.228742135395633	0.265257187472341	0.243140048238102	-21.1261230118929	0.0301507638496138	0.811505367655564	5.91989293524207	14.9996287216394	0.0811600359946895
"33"	32	-718.967027794077	-750.458755874008	-718.967027794077	-31.4917280799315	-718.967027794077	14.9996287216394	0.78960555659947	1.09681566044324	0.861511643287002	2.12861819975609	3.78047236443527	0.256293283811804	0.233578059958964	0.265257187472341	0.24487146875689	-19.4432373831377	0.117625346580316	0.646066827119311	5.91989293524207	14.9996287216394	0.121616366113981
"34"	33	-718.892454885603	-752.902614178877	-718.892454885603	-34.0101592932738	-718.892454885603	14.9996287216394	1.32718088745462	1.09681566044324	0.861511643287002	2.12861819975609	3.78047236443527	0.261558241305444	0.233578059958964	0.265257187472341	0.23960651126325	-21.4145961912415	0.0511156898988981	0.558790850632992	5.91989293524207	14.9996287216394	0.0592520238959114
