"Sample"	"NSlikelihood"	"posterior"	"likelihood"	"prior"	"treeLikelihood.file66a54de85737"	"TreeHeight"	"BirthDeath"	"BDBirthRate"	"BDDeathRate"	"logP.mrca.auto_name_1.."	"mrca.age.auto_name_1."	"clockRate"
"57"	56	-4664.25343447222	-4722.54774095224	-4664.25343447222	-58.2943064800195	-4664.25343447222	15.0016089393206	-62.9887803571091	0.0894730785920448	0.953589636416913	4.6944738770896	15.0016089393206	0.419733759682847
"58"	57	-4657.26959987672	-4722.06611374025	-4657.26959987672	-64.7965138635227	-4657.26959987672	15.0016089393206	-69.4909877406123	0.127565484526918	0.909263321445563	4.6944738770896	15.0016089393206	0.576058820073434
"59"	58	-4554.50758793965	-4634.24449985387	-4554.50758793965	-79.7369119142254	-4554.50758793965	15.0016089393206	-84.431385791315	0.155582111819732	0.811915802099989	4.6944738770896	15.0016089393206	0.363580871327228
"60"	59	-4552.85042389536	-4626.77170573398	-4552.85042389536	-73.9212818386244	-4552.85042389536	15.0016089393206	-78.615755715714	0.149297835504344	0.738118921570626	4.6944738770896	15.0016089393206	0.349437096032037
"61"	60	-4538.90515229441	-4602.47085052871	-4538.90515229441	-63.565698234302	-4538.90515229441	15.0013682084147	-68.6185178469908	0.151550167784727	0.889039229386091	5.05281961268879	15.0013682084147	0.51749113119047
"62"	61	-4530.89577233976	-4587.34281847164	-4530.89577233976	-56.4470461318799	-4530.89577233976	15.0013682084147	-61.4998657445687	0.224900834451121	0.814829879605613	5.05281961268879	15.0013682084147	0.355891294714241
"63"	62	-4513.29267597767	-4579.94903165633	-4513.29267597767	-66.6563556786548	-4513.29267597767	15.0013682084147	-71.7091752913436	0.144477193293358	0.757271330810267	5.05281961268879	15.0013682084147	0.401149610244435
"64"	63	-4509.85530500277	-4579.73549146269	-4509.85530500277	-69.8801864599153	-4509.85530500277	15.0013682084147	-74.9330060726041	0.188379046130262	0.855823361922511	5.05281961268879	15.0013682084147	0.430653472916038
"65"	64	-4506.7326717689	-4568.72254003341	-4506.7326717689	-61.9898682645102	-4506.7326717689	15.0013682084147	-67.0426878771989	0.108611357218904	0.872132019652626	5.05281961268879	15.0013682084147	0.349209691250324
"66"	65	-4487.13864567189	-4554.00598361111	-4487.13864567189	-66.8673379392213	-4487.13864567189	15.0013682084147	-71.9201575519101	0.095025468517161	0.868699557041681	5.05281961268879	15.0013682084147	0.36226273713033
"67"	66	-4482.91963344835	-4544.59518010828	-4482.91963344835	-61.6755466599296	-4482.91963344835	15.0013682084147	-66.7283662726184	0.0875150008627778	0.905078965023801	5.05281961268879	15.0013682084147	0.409846781937744
"68"	67	-4459.15146302	-4521.5151808368	-4459.15146302	-62.363717816806	-4459.15146302	14.9992555077149	-68.0754001812962	0.0757162450772873	0.904633184284883	5.71168236449019	14.9992555077149	0.284187148921185
"69"	68	-4445.12402245274	-4509.86132559012	-4445.12402245274	-64.737303137377	-4445.12402245274	14.9992555077149	-70.4489855018672	0.103179880346456	0.916930056899536	5.71168236449019	14.9992555077149	0.304813695322091
"70"	69	-4443.87681284739	-4507.57193736729	-4443.87681284739	-63.6951245198977	-4443.87681284739	14.9992555077149	-69.4068068843879	0.245483738091724	0.697896849215564	5.71168236449019	14.9992555077149	0.392110277282224
"71"	70	-4441.56362196576	-4501.52147998129	-4441.56362196576	-59.9578580155367	-4441.56362196576	14.9992555077149	-65.6695403800268	0.409015461500247	0.516039758806673	5.71168236449019	14.9992555077149	0.485418778983994
"72"	71	-4440.07804169766	-4502.83872565202	-4440.07804169766	-62.760683954358	-4440.07804169766	14.9992555077149	-68.4723663188482	0.364678239630571	0.47067019235249	5.71168236449019	14.9992555077149	0.408811736488438
"73"	72	-4428.28318999878	-4491.89320530979	-4428.28318999878	-63.6100153110157	-4428.28318999878	14.9992555077149	-69.3216976755059	0.359935245399451	0.5755743348617	5.71168236449019	14.9992555077149	0.369774568443081
"74"	73	-4391.1285450358	-4454.06738001978	-4391.1285450358	-62.9388349839804	-4391.1285450358	14.9992555077149	-68.6505173484705	0.3322131628698	0.523581815872054	5.71168236449019	14.9992555077149	0.320891113413045
"75"	74	-4387.58322978426	-4451.36293811195	-4387.58322978426	-63.779708327689	-4387.58322978426	14.9992555077149	-69.4913906921792	0.333682735766964	0.426615456973988	5.71168236449019	14.9992555077149	0.400726453460312
"76"	75	-4384.41605698734	-4447.37060821139	-4384.41605698734	-62.9545512240513	-4384.41605698734	14.9992555077149	-68.6662335885415	0.52797003624627	0.1981745231862	5.71168236449019	14.9992555077149	0.383287153890299
"77"	76	-4374.25207248024	-4432.98515062881	-4374.25207248024	-58.7330781485648	-4374.25207248024	14.9992555077149	-64.444760513055	0.389304067785836	0.596710345409435	5.71168236449019	14.9992555077149	0.342504538661694
"78"	77	-4362.51919907061	-4422.82392619389	-4362.51919907061	-60.3047271232781	-4362.51919907061	14.9992555077149	-66.0164094877682	0.460510985171732	0.471587481977708	5.71168236449019	14.9992555077149	0.399037419878193
"79"	78	-4360.268897458	-4418.43259898825	-4360.268897458	-58.1637015302508	-4360.268897458	14.9992555077149	-63.875383894741	0.183304466094049	0.904774853586599	5.71168236449019	14.9992555077149	0.345475601049167
"80"	79	-4358.04242805589	-4419.07631974384	-4358.04242805589	-61.0338916879541	-4358.04242805589	14.9992555077149	-66.7455740524443	0.227922142037432	0.764415753267768	5.71168236449019	14.9992555077149	0.358344264158183
"81"	80	-4350.8972431572	-4418.7206425494	-4350.8972431572	-67.8233993922021	-4350.8972431572	14.9992555077149	-73.5350817566923	0.304422217745049	0.583188838030294	5.71168236449019	14.9992555077149	0.305281494771523
"82"	81	-4336.16538281841	-4398.93504041186	-4336.16538281841	-62.7696575934438	-4336.16538281841	14.9992555077149	-68.481339957934	0.328326789796721	0.562518284863186	5.71168236449019	14.9992555077149	0.300072520776025
"83"	82	-4321.99484049907	-4383.41151362628	-4321.99484049907	-61.4166731272057	-4321.99484049907	14.9992555077149	-67.1283554916959	0.331561253514926	0.565032188125619	5.71168236449019	14.9992555077149	0.273322015206793
